Feature,Perfect,Non-Perfect,Abs_Difference,Percent_Difference
11625,916,596,320,34.93449781659388
10758,693,850,157,18.470588235294116
14376,497,280,217,43.66197183098591
9287,343,152,191,55.68513119533528
1710,232,131,101,43.53448275862069
9342,173,55,118,68.20809248554913
10281,165,282,117,41.48936170212766
5400,154,0,154,100.0
9572,129,0,129,100.0
6665,125,0,125,100.0
19764,121,271,150,55.35055350553506
4950,114,0,114,100.0
24004,102,1,101,99.01960784313727
2187,100,0,100,100.0
9686,21,168,147,87.5
